Time,T1_t1,T2_t1,T3_t1,T4_t1,T1_t2,T2_t2,T3_t2,T4_t2,T1_t3,T2_t3,T3_t3,T4_t3
13,0.00,-0.06,-0.03,0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
13.25,0.00,0.04,0.07,0.05,-0.07,0.00,-0.05,0.06,0.00,-0.04,-0.04,0.04
13.5,0.00,-0.06,-0.03,0.05,0.03,0.00,-0.05,-0.04,0.00,0.06,-0.04,0.04
13.75,0.00,-0.06,-0.03,0.05,0.03,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
14,0.10,-0.06,-0.03,0.05,-0.07,0.00,0.05,0.06,0.00,-0.04,-0.04,0.04
14.25,0.00,0.04,-0.03,0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
14.5,0.00,0.04,-0.03,0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
14.75,0.00,0.04,-0.03,-0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
15,0.00,0.04,-0.03,-0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
15.25,0.00,0.04,-0.03,-0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
15.5,0.10,0.04,-0.03,0.05,-0.07,0.00,0.05,0.06,0.00,-0.04,-0.04,0.04
15.75,0.00,0.04,-0.03,0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,-0.06
16,0.00,0.04,-0.03,0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
16.25,0.00,0.04,-0.03,0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
16.5,0.00,0.04,-0.03,0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
16.75,0.00,0.04,-0.03,0.05,-0.07,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
17,0.00,0.04,-0.03,0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
17.25,0.00,0.04,-0.03,0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
17.5,0.00,0.04,-0.03,-0.05,0.03,0.00,0.05,-0.04,0.00,0.06,-0.04,0.04
17.75,0.00,0.04,-0.03,0.05,-0.07,0.00,0.05,-0.04,0.00,0.06,0.06,0.04
18,0.00,0.04,0.07,0.05,-0.07,0.00,-0.05,-0.04,0.00,0.06,-0.04,0.04
18.25,0.00,0.04,0.07,-0.05,-0.07,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
18.5,0.00,0.04,0.07,0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
18.75,0.00,0.04,0.07,0.05,-0.07,0.10,0.05,0.06,0.00,-0.04,-0.04,0.04
19,0.00,0.04,0.07,-0.05,-0.07,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
19.25,0.00,0.04,0.07,0.05,0.03,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
19.5,0.00,0.04,0.07,0.05,-0.07,0.00,0.05,-0.04,0.00,0.06,-0.04,0.04
19.75,0.00,0.04,0.07,0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
20,0.00,0.04,0.07,0.05,-0.07,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
20.25,0.00,0.04,0.07,-0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,0.04
20.5,0.00,0.14,0.07,0.05,0.03,0.10,-0.05,-0.04,0.00,0.06,-0.04,0.04
20.75,0.00,0.24,0.07,0.05,0.03,0.10,0.05,-0.04,0.00,0.16,0.06,0.04
21,0.10,0.24,0.17,0.05,0.03,0.20,0.05,0.06,0.00,0.16,0.06,0.04
21.25,0.10,0.44,0.17,0.05,0.03,0.30,0.05,0.06,0.10,0.26,0.06,0.14
21.5,0.20,0.54,0.17,0.05,0.03,0.40,0.15,-0.04,0.10,0.46,0.16,0.14
21.75,0.20,0.64,0.17,0.15,0.13,0.40,0.15,0.06,0.20,0.46,0.16,0.14
22,0.20,0.74,0.17,0.15,0.13,0.60,0.15,0.06,0.20,0.56,0.26,0.14
22.25,0.30,0.74,0.17,0.15,0.23,0.70,0.15,0.16,0.20,0.66,0.26,0.14
22.5,0.30,0.84,0.27,0.15,0.23,0.70,0.15,0.16,0.20,0.76,0.26,0.14
22.75,0.30,0.94,0.27,0.25,0.33,0.80,0.25,0.26,0.30,0.76,0.26,0.14
23,0.30,0.94,0.37,0.25,0.33,0.90,0.35,0.26,0.30,0.86,0.26,0.24
23.25,0.40,1.14,0.37,0.35,0.33,1.00,0.35,0.26,0.40,0.96,0.36,0.24
23.5,0.40,1.14,0.47,0.25,0.33,1.10,0.45,0.26,0.40,1.06,0.36,0.24
23.75,0.40,1.24,0.47,0.35,0.33,1.10,0.45,0.36,0.40,1.16,0.46,0.34
24,0.50,1.24,0.57,0.35,0.43,1.20,0.45,0.36,0.50,1.26,0.46,0.34
24.25,0.50,1.34,0.57,0.35,0.43,1.40,0.55,0.36,0.50,1.26,0.56,0.44
24.5,0.60,1.44,0.57,0.35,0.53,1.40,0.55,0.36,0.60,1.36,0.56,0.44
24.75,0.60,1.54,0.57,0.35,0.53,1.40,0.55,0.36,0.60,1.46,0.56,0.44
25,0.60,1.54,0.67,0.45,0.63,1.50,0.55,0.36,0.60,1.46,0.66,0.44
25.25,0.70,1.64,0.67,0.45,0.63,1.60,0.65,0.46,0.60,1.46,0.66,0.44
25.5,0.70,1.74,0.67,0.45,0.63,1.70,0.65,0.46,0.70,1.56,0.66,0.44
25.75,0.70,1.84,0.77,0.45,0.63,1.70,0.75,0.46,0.70,1.66,0.66,0.44
26,0.70,1.94,0.77,0.55,0.73,1.80,0.75,0.46,0.70,1.76,0.76,0.44
26.25,0.80,1.94,0.87,0.55,0.73,1.80,0.85,0.56,0.70,1.76,0.76,0.54
26.5,0.80,1.94,0.87,0.65,0.73,1.80,0.85,0.56,0.80,1.86,0.86,0.54
26.75,0.80,2.04,0.97,0.65,0.73,2.00,0.85,0.66,0.80,1.86,0.86,0.64
27,0.90,2.04,0.97,0.65,0.83,2.10,0.85,0.66,0.80,1.96,0.96,0.64
27.25,0.80,2.14,0.97,0.65,0.83,2.10,0.95,0.66,0.80,2.06,0.96,0.64
27.5,0.90,2.24,1.07,0.75,0.83,2.20,0.95,0.66,0.90,2.06,0.96,0.64
27.75,1.00,2.24,1.07,0.75,0.93,2.30,0.95,0.66,0.90,2.06,0.96,0.64
28,1.00,2.24,1.17,0.75,0.93,2.30,1.05,0.76,1.00,2.16,0.96,0.74
28.25,1.00,2.34,1.17,0.75,1.03,2.40,1.05,0.76,1.00,2.26,1.06,0.74
28.5,1.00,2.34,1.17,0.75,1.03,2.40,1.05,0.76,1.00,2.26,1.06,0.74
28.75,1.10,2.44,1.27,0.85,1.03,2.40,1.15,0.76,1.00,2.36,1.16,0.84
29,1.10,2.44,1.27,0.85,1.13,2.50,1.15,0.76,1.00,2.36,1.16,0.84
29.25,1.10,2.54,1.27,0.85,1.13,2.50,1.15,0.76,1.00,2.46,1.16,0.84
29.5,1.10,2.54,1.27,0.85,1.13,2.60,1.25,0.86,1.10,2.46,1.26,0.84
29.75,1.10,2.64,1.37,0.85,1.23,2.60,1.25,0.86,1.10,2.46,1.26,0.84
30,1.10,2.64,1.37,0.95,1.23,2.70,1.25,0.86,1.10,2.56,1.26,0.84
30.25,1.20,2.74,1.37,0.95,1.23,2.70,1.25,0.86,1.20,2.66,1.26,0.84
30.5,1.20,2.74,1.37,0.95,1.33,2.80,1.25,0.86,1.20,2.66,1.26,0.84
30.75,1.30,2.74,1.37,1.05,1.33,2.70,1.25,0.96,1.20,2.56,1.26,0.94
31,1.20,2.64,1.37,0.95,1.33,2.70,1.25,0.86,1.20,2.56,1.26,0.94
31.25,1.20,2.64,1.37,0.95,1.33,2.70,1.25,0.86,1.20,2.46,1.26,0.94
31.5,1.20,2.64,1.37,0.95,1.33,2.60,1.25,0.86,1.20,2.36,1.26,0.94
31.75,1.20,2.54,1.37,1.05,1.33,2.50,1.25,0.86,1.20,2.36,1.26,0.94
32,1.20,2.44,1.37,0.95,1.33,2.50,1.25,0.86,1.20,2.36,1.26,0.84
32.25,1.20,2.44,1.37,0.95,1.33,2.40,1.25,0.96,1.20,2.26,1.26,0.84
32.5,1.20,2.44,1.37,0.95,1.33,2.40,1.25,0.86,1.10,2.16,1.26,0.84
32.75,1.20,2.34,1.37,0.95,1.23,2.30,1.25,0.86,1.10,2.16,1.26,0.84
33,1.20,2.34,1.37,0.95,1.33,2.30,1.25,0.86,1.10,2.06,1.16,0.84
33.25,1.20,2.24,1.37,0.95,1.23,2.20,1.25,0.86,1.10,2.16,1.16,0.84
33.5,1.20,2.24,1.27,0.95,1.23,2.20,1.25,0.76,1.10,2.06,1.16,0.84
33.75,1.20,2.14,1.27,0.95,1.23,2.20,1.15,0.86,1.10,2.06,1.16,0.84
34,1.20,2.14,1.27,0.95,1.23,2.20,1.25,0.86,1.10,1.96,1.16,0.84
34.25,1.20,2.14,1.27,0.95,1.13,2.10,1.15,0.86,1.10,1.96,1.06,0.84
34.5,1.20,2.14,1.27,0.95,1.23,2.10,1.15,0.86,1.10,1.86,1.06,0.84
34.75,1.10,2.04,1.17,0.95,1.13,2.00,1.15,0.86,1.10,1.86,1.06,0.84
35,1.10,2.04,1.17,0.95,1.13,2.00,1.05,0.86,1.10,1.86,1.06,0.84
35.25,1.10,1.94,1.17,0.75,1.13,1.90,1.05,0.86,1.10,1.86,1.06,0.84
35.5,1.10,1.94,1.17,0.75,1.13,1.90,1.05,0.86,1.00,1.76,1.06,0.84
35.75,1.10,1.94,1.17,0.75,1.13,1.90,1.05,0.86,1.10,1.76,1.06,0.74
36,1.10,1.94,1.17,0.75,1.13,1.80,1.05,0.86,1.00,1.76,1.06,0.84
36.25,1.00,1.94,1.07,0.75,1.13,1.80,1.05,0.86,1.00,1.76,1.06,0.74
36.5,1.00,1.84,1.07,0.75,1.13,1.80,1.05,0.76,1.00,1.66,1.06,0.74
36.75,1.00,1.84,1.07,0.75,1.13,1.70,1.05,0.76,1.10,1.66,1.06,0.74
37,1.00,1.74,1.07,0.75,1.13,1.70,1.05,0.76,1.00,1.66,1.06,0.74
37.25,1.00,1.74,1.07,0.75,1.13,1.70,1.05,0.76,1.00,1.56,1.06,0.74
37.5,1.00,1.64,0.97,0.75,1.13,1.60,0.95,0.76,1.00,1.56,0.96,0.74
37.75,1.00,1.64,0.97,0.75,0.93,1.60,0.95,0.66,1.00,1.56,0.96,0.74
38,1.00,1.64,0.97,0.65,1.13,1.60,0.95,0.66,1.00,1.56,1.06,0.74
38.25,1.00,1.64,0.97,0.75,0.93,1.60,0.95,0.66,1.00,1.56,0.96,0.64
38.5,1.00,1.64,0.97,0.75,1.13,1.60,0.95,0.66,1.00,1.56,0.86,0.64
38.75,1.00,1.64,0.97,0.75,0.93,1.50,0.85,0.66,0.90,1.46,0.96,0.64
39,1.00,1.64,0.97,0.65,0.93,1.50,0.85,0.56,0.90,1.46,0.86,0.64
39.25,1.00,1.64,0.87,0.65,0.93,1.50,0.85,0.56,0.90,1.46,0.86,0.64
39.5,1.00,1.64,0.97,0.65,0.93,1.50,0.85,0.66,0.90,1.46,0.86,0.64
39.75,1.00,1.54,0.87,0.65,0.93,1.40,0.85,0.56,0.90,1.36,0.86,0.64
40,1.00,1.54,0.87,0.65,0.93,1.40,0.85,0.56,0.90,1.36,0.86,0.64
40.25,0.90,1.54,0.87,0.65,0.93,1.40,0.75,0.66,0.90,1.36,0.76,0.64
40.5,0.90,1.44,0.87,0.65,0.93,1.40,0.75,0.66,0.90,1.36,0.86,0.64
40.75,0.90,1.44,0.87,0.55,0.93,1.40,0.75,0.66,0.90,1.26,0.76,0.64
41,0.90,1.44,0.77,0.55,0.93,1.40,0.75,0.56,0.80,1.26,0.76,0.54
41.25,0.90,1.44,0.77,0.65,0.93,1.40,0.85,0.66,0.90,1.26,0.76,0.64
41.5,0.90,1.44,0.77,0.55,0.93,1.40,0.85,0.66,0.90,1.26,0.76,0.64
41.75,0.90,1.44,0.77,0.55,0.83,1.30,0.85,0.66,0.80,1.26,0.76,0.64
42,0.90,1.44,0.77,0.65,0.93,1.30,0.85,0.56,0.90,1.26,0.76,0.54
42.25,0.90,1.44,0.77,0.65,0.93,1.30,0.85,0.56,0.90,1.26,0.76,0.54
42.5,0.90,1.44,0.77,0.65,0.83,1.30,0.75,0.56,0.90,1.26,0.76,0.54
42.75,0.90,1.34,0.87,0.55,0.83,1.20,0.75,0.56,0.90,1.26,0.76,0.54
43,0.90,1.34,0.77,0.55,0.83,1.20,0.75,0.56,0.90,1.16,0.76,0.54
43.25,0.90,1.34,0.77,0.65,0.83,1.20,0.75,0.56,0.90,1.16,0.76,0.54
43.5,0.90,1.34,0.87,0.55,0.83,1.20,0.75,0.56,0.90,1.16,0.76,0.54
43.75,0.90,1.24,0.77,0.65,0.83,1.20,0.75,0.56,0.80,1.16,0.76,0.54
44,0.90,1.24,0.77,0.55,0.83,1.10,0.75,0.56,0.80,1.16,0.76,0.54
44.25,0.90,1.24,0.77,0.55,0.83,1.10,0.75,0.56,0.80,1.06,0.66,0.44
44.5,0.90,1.24,0.77,0.55,0.83,1.10,0.75,0.56,0.80,1.06,0.66,0.44
44.75,0.90,1.24,0.77,0.55,0.73,1.10,0.75,0.46,0.80,1.06,0.66,0.54
45,0.90,1.24,0.77,0.55,0.83,1.10,0.75,0.46,0.80,1.06,0.76,0.54
45.25,0.90,1.34,0.77,0.55,0.73,1.10,0.65,0.46,0.80,1.06,0.66,0.54
45.5,0.90,1.24,0.67,0.55,0.73,1.10,0.65,0.46,0.80,1.06,0.66,0.44
45.75,0.80,1.24,0.67,0.45,0.73,1.10,0.65,0.46,0.80,1.06,0.66,0.44
46,0.80,1.24,0.67,0.45,0.73,1.10,0.65,0.46,0.80,1.06,0.66,0.44
46.25,0.80,1.24,0.67,0.45,0.73,1.10,0.65,0.46,0.80,1.06,0.66,0.44
46.5,0.80,1.14,0.67,0.45,0.73,1.10,0.65,0.46,0.70,1.06,0.66,0.44
46.75,0.80,1.14,0.67,0.45,0.73,1.10,0.65,0.46,0.80,1.06,0.66,0.44
47,0.80,1.14,0.67,0.45,0.73,1.10,0.65,0.46,0.80,1.06,0.66,0.44
47.25,0.80,1.14,0.67,0.45,0.73,1.10,0.65,0.46,0.70,1.06,0.66,0.44
47.5,0.80,1.14,0.67,0.45,0.73,1.00,0.65,0.46,0.70,1.06,0.66,0.44
47.75,0.80,1.14,0.67,0.45,0.73,1.10,0.65,0.46,0.70,0.96,0.56,0.44
48,0.80,1.14,0.67,0.45,0.73,1.00,0.65,0.46,0.70,1.06,0.66,0.44
48.25,0.80,1.04,0.67,0.45,0.73,1.00,0.65,0.46,0.70,0.96,0.56,0.44
48.5,0.80,1.04,0.67,0.55,0.73,1.00,0.65,0.46,0.70,0.96,0.56,0.44
48.75,0.70,1.04,0.67,0.55,0.73,1.10,0.65,0.46,0.70,0.86,0.56,0.44
49,0.70,1.14,0.67,0.55,0.73,1.00,0.65,0.46,0.70,0.96,0.56,0.44
49.25,0.70,1.14,0.67,0.45,0.73,0.90,0.65,0.46,0.70,0.96,0.56,0.44
49.5,0.70,1.14,0.57,0.55,0.73,0.90,0.65,0.46,0.70,0.86,0.56,0.44
49.75,0.70,1.14,0.67,0.45,0.73,0.90,0.65,0.46,0.70,0.86,0.56,0.44
50,0.80,1.14,0.67,0.45,0.73,0.90,0.65,0.46,0.70,0.96,0.56,0.44
50.25,0.80,1.04,0.57,0.45,0.73,0.90,0.55,0.46,0.60,0.86,0.56,0.44
50.5,0.80,1.14,0.67,0.45,0.73,0.90,0.55,0.46,0.70,0.86,0.56,0.44
50.75,0.80,1.14,0.67,0.45,0.73,0.90,0.55,0.46,0.60,0.86,0.56,0.44
51,0.80,1.14,0.67,0.45,0.73,0.90,0.55,0.46,0.60,0.86,0.56,0.44
51.25,0.80,1.04,0.57,0.45,0.73,0.90,0.55,0.46,0.60,0.86,0.56,0.44
51.5,0.80,1.04,0.57,0.45,0.73,0.90,0.65,0.46,0.70,0.86,0.56,0.44
51.75,0.80,1.14,0.57,0.45,0.73,0.90,0.65,0.46,0.70,0.86,0.56,0.44
52,0.70,1.04,0.57,0.45,0.73,1.00,0.55,0.46,0.70,0.86,0.56,0.44
52.25,0.80,1.04,0.57,0.45,0.73,1.00,0.55,0.46,0.70,0.86,0.56,0.44
52.5,0.70,1.04,0.57,0.45,0.73,0.90,0.55,0.46,0.70,0.86,0.56,0.34
52.75,0.70,0.94,0.57,0.45,0.73,0.90,0.55,0.36,0.70,0.86,0.56,0.44
53,0.70,0.94,0.57,0.45,0.73,0.90,0.55,0.46,0.70,0.86,0.66,0.44
53.25,0.70,0.94,0.57,0.35,0.63,0.80,0.55,0.46,0.70,0.86,0.56,0.34
53.5,0.70,0.94,0.57,0.45,0.63,0.90,0.55,0.46,0.70,0.86,0.56,0.44
53.75,0.70,0.94,0.57,0.45,0.73,0.90,0.55,0.46,0.70,0.86,0.46,0.34
54,0.70,0.94,0.57,0.45,0.63,0.90,0.55,0.46,0.70,0.86,0.56,0.34
54.25,0.70,0.94,0.57,0.35,0.63,0.90,0.55,0.36,0.70,0.76,0.56,0.44
54.5,0.70,0.94,0.57,0.35,0.63,0.80,0.55,0.46,0.60,0.76,0.46,0.34
54.75,0.70,0.94,0.57,0.45,0.63,0.80,0.55,0.36,0.60,0.76,0.56,0.34
55,0.70,0.94,0.57,0.35,0.63,0.80,0.55,0.36,0.70,0.76,0.46,0.34
55.25,0.70,0.94,0.57,0.35,0.63,0.80,0.55,0.36,0.60,0.76,0.46,0.44
55.5,0.60,0.94,0.57,0.35,0.63,0.80,0.55,0.46,0.60,0.76,0.56,0.34
55.75,0.60,0.94,0.57,0.35,0.63,0.80,0.45,0.36,0.60,0.76,0.46,0.34
56,0.60,0.94,0.57,0.45,0.63,0.80,0.45,0.36,0.60,0.76,0.56,0.44
56.25,0.70,0.94,0.57,0.45,0.63,0.80,0.45,0.36,0.60,0.76,0.46,0.34
56.5,0.70,0.94,0.57,0.45,0.53,0.80,0.45,0.36,0.60,0.76,0.56,0.34
56.75,0.60,0.84,0.57,0.45,0.63,0.80,0.45,0.36,0.60,0.66,0.46,0.34
57,0.60,0.94,0.57,0.45,0.63,0.80,0.55,0.36,0.60,0.76,0.46,0.34
57.25,0.60,0.94,0.47,0.45,0.53,0.70,0.45,0.36,0.60,0.76,0.46,0.34
57.5,0.60,0.84,0.57,0.45,0.63,0.70,0.45,0.36,0.60,0.66,0.46,0.24
57.75,0.60,0.84,0.57,0.45,0.53,0.70,0.45,0.36,0.60,0.66,0.46,0.34
58,0.60,0.84,0.57,0.35,0.63,0.70,0.45,0.36,0.60,0.66,0.46,0.34
58.25,0.60,0.84,0.57,0.35,0.53,0.80,0.55,0.36,0.50,0.66,0.46,0.34
58.5,0.70,0.84,0.47,0.35,0.53,0.80,0.55,0.36,0.60,0.66,0.46,0.34
58.75,0.70,0.84,0.47,0.35,0.53,0.80,0.55,0.36,0.60,0.66,0.36,0.24
59,0.70,0.84,0.47,0.45,0.53,0.80,0.55,0.36,0.60,0.66,0.46,0.34
59.25,0.70,0.84,0.57,0.45,0.53,0.80,0.55,0.36,0.60,0.56,0.46,0.24
59.5,0.70,0.84,0.47,0.35,0.53,0.70,0.55,0.26,0.50,0.56,0.46,0.24
59.75,0.60,0.84,0.47,0.35,0.53,0.80,0.55,0.36,0.50,0.66,0.36,0.24
60,0.70,0.84,0.47,0.35,0.63,0.70,0.55,0.36,0.50,0.56,0.46,0.24
60.25,0.60,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.56,0.46,0.24
60.5,0.60,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.56,0.36,0.24
60.75,0.60,0.84,0.47,0.35,0.53,0.70,0.45,0.36,0.50,0.66,0.36,0.24
61,0.70,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.56,0.46,0.24
61.25,0.60,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.66,0.36,0.24
61.5,0.60,0.84,0.47,0.35,0.53,0.70,0.45,0.36,0.50,0.66,0.46,0.24
61.75,0.60,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.66,0.46,0.24
62,0.70,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.66,0.46,0.24
62.25,0.60,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.66,0.46,0.24
62.5,0.60,0.84,0.47,0.35,0.63,0.70,0.45,0.36,0.50,0.66,0.46,0.24
62.75,0.60,0.84,0.57,0.35,0.53,0.70,0.45,0.36,0.50,0.66,0.46,0.24
63,0.60,0.84,0.47,0.35,0.53,0.60,0.45,0.36,0.50,0.56,0.46,0.24
63.25,0.60,0.84,0.57,0.35,0.53,0.60,0.45,0.36,0.50,0.56,0.46,0.24
63.5,0.60,0.84,0.57,0.35,0.53,0.60,0.45,0.36,0.50,0.66,0.46,0.24
63.75,0.60,0.84,0.57,0.35,0.53,0.70,0.45,0.36,0.50,0.56,0.46,0.24
64,0.60,0.84,0.47,0.35,0.53,0.60,0.45,0.36,0.50,0.56,0.46,0.24
64.25,0.60,0.84,0.57,0.35,0.53,0.60,0.35,0.26,0.50,0.56,0.46,0.24
64.5,0.60,0.84,0.57,0.35,0.53,0.60,0.45,0.36,0.50,0.56,0.46,0.24
64.75,0.60,0.74,0.47,0.35,0.53,0.60,0.45,0.36,0.50,0.56,0.46,0.24
